Round,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,epoch,mAP50,loss
1,185,1.83839,2.59788,1.26051,0.75974,0.27036,0.25299,0.13316,1.78284,2.38586,1.18245,0.00066,0.00066,0.002,1,0.41945,4.82046
2,798,1.65334,1.42745,1.19903,0.67008,0.51796,0.56478,0.30121,1.66622,1.48604,1.13956,0.002,0.002,0.002,3,0.5392,4.21652
3,1404,1.6069,1.27825,1.16934,0.71052,0.54991,0.60617,0.31924,1.64731,1.34092,1.12383,0.00199,0.00199,0.00199,4,0.58931,4.01732
4,2013,1.58267,1.21502,1.15544,0.73451,0.56647,0.62883,0.3424,1.6296,1.26873,1.10857,0.00197,0.00197,0.00197,6,0.6207,3.90624
5,2623,1.56822,1.17507,1.14751,0.7596,0.5872,0.65428,0.35747,1.61495,1.18993,1.10019,0.00196,0.00196,0.00196,7,0.65453,3.81442
6,3231,1.55675,1.1404,1.14133,0.75446,0.58833,0.65672,0.36211,1.60977,1.2031,1.10367,0.00193,0.00193,0.00193,9,0.65679,3.77202
7,3840,1.54667,1.11716,1.13493,0.75041,0.59959,0.66817,0.36785,1.61604,1.17001,1.10139,0.00191,0.00191,0.00191,10,0.66724,3.72916
8,4448,1.54381,1.10658,1.13352,0.76158,0.59076,0.66246,0.36634,1.60307,1.18271,1.10119,0.00187,0.00187,0.00187,12,0.66344,3.72527
9,5056,1.53578,1.08577,1.13108,0.75329,0.60812,0.67151,0.36806,1.62106,1.14732,1.10451,0.00184,0.00184,0.00184,13,0.67278,3.68772
10,5664,1.52967,1.0686,1.1322,0.76674,0.60376,0.67665,0.37639,1.60018,1.12983,1.10157,0.00179,0.00179,0.00179,15,0.67483,3.66162
11,6273,1.52459,1.06103,1.12954,0.76666,0.60597,0.67999,0.37869,1.58996,1.11728,1.09349,0.00175,0.00175,0.00175,16,0.67855,3.6403
12,6881,1.51454,1.04424,1.12341,0.76814,0.61402,0.68462,0.3822,1.59077,1.10171,1.09677,0.00169,0.00169,0.00169,18,0.68398,3.61548
13,7492,1.50506,1.03062,1.12119,0.76846,0.62166,0.69268,0.38767,1.58365,1.09255,1.09418,0.00164,0.00164,0.00164,19,0.6916,3.58258
14,8101,1.50475,1.01415,1.12202,0.76723,0.61997,0.68582,0.3826,1.597,1.09953,1.09901,0.00158,0.00158,0.00158,21,0.68712,3.58356
15,8710,1.49536,1.00601,1.11774,0.76671,0.62626,0.69201,0.38715,1.59359,1.08995,1.09703,0.00152,0.00152,0.00152,22,0.69188,3.54535
16,9319,1.49626,0.99134,1.11895,0.77455,0.62846,0.69557,0.39073,1.58829,1.07177,1.09483,0.00146,0.00146,0.00146,24,0.69697,3.53863
17,9926,1.49278,0.98114,1.11972,0.7714,0.63546,0.7,0.3904,1.59597,1.06454,1.09688,0.00139,0.00139,0.00139,25,0.70016,3.5337
18,10535,1.48566,0.97573,1.11612,0.77957,0.62992,0.70015,0.39205,1.59135,1.05274,1.09926,0.00132,0.00132,0.00132,27,0.70027,3.50962
19,11142,1.47661,0.95463,1.11035,0.78366,0.62066,0.6944,0.39403,1.5851,1.06182,1.09582,0.00125,0.00125,0.00125,28,0.69501,3.48418
20,11752,1.47635,0.94912,1.11181,0.77977,0.62921,0.70113,0.39863,1.58191,1.04825,1.09515,0.00118,0.00118,0.00118,30,0.70003,3.47315
21,12360,1.46727,0.94222,1.10851,0.77725,0.636,0.70372,0.3988,1.5825,1.03754,1.0946,0.00111,0.00111,0.00111,31,0.70323,3.45494
22,12970,1.46221,0.93304,1.10505,0.78484,0.63024,0.7015,0.39671,1.58195,1.0365,1.09677,0.00103,0.00103,0.00103,33,0.70126,3.43553
23,13580,1.45571,0.91873,1.10414,0.77206,0.64015,0.7035,0.39817,1.58205,1.03763,1.09795,0.00097,0.00097,0.00097,34,0.7041,3.40699
24,14189,1.44621,0.90715,1.09943,0.78305,0.63436,0.70532,0.39971,1.58185,1.02783,1.0986,0.00089,0.00089,0.00089,36,0.70583,3.39797
25,14798,1.43746,0.89256,1.09773,0.78324,0.63678,0.70508,0.40089,1.58379,1.02388,1.09867,0.00082,0.00082,0.00082,37,0.70551,3.35803
26,15407,1.43594,0.88821,1.09527,0.78045,0.64307,0.70709,0.40236,1.58337,1.02184,1.0976,0.00075,0.00075,0.00075,39,0.70847,3.36622
27,16018,1.43122,0.88332,1.09532,0.78521,0.64193,0.70954,0.40418,1.58122,1.01446,1.09845,0.00068,0.00068,0.00068,40,0.71013,3.3473
28,16627,1.42173,0.87188,1.08952,0.78777,0.63736,0.70952,0.40439,1.58001,1.00933,1.09715,0.00061,0.00061,0.00061,42,0.70953,3.31532
29,17240,1.41639,0.86233,1.088,0.79191,0.63643,0.71015,0.40358,1.58502,1.00683,1.10046,0.00055,0.00055,0.00055,43,0.71189,3.29833
30,17848,1.41484,0.85518,1.09002,0.77931,0.64664,0.71018,0.40488,1.58688,1.00813,1.10132,0.00049,0.00049,0.00049,45,0.71011,3.30649
31,18458,1.40066,0.84019,1.0818,0.78732,0.64814,0.71234,0.40555,1.58671,0.99791,1.10162,0.00042,0.00042,0.00042,46,0.71281,3.25482
32,19069,1.39799,0.83576,1.07677,0.78797,0.65027,0.70986,0.40706,1.58485,0.99854,1.10008,0.00036,0.00036,0.00036,48,0.71122,3.25811
33,19680,1.38868,0.8271,1.07797,0.79326,0.64474,0.71123,0.40606,1.58531,1.0005,1.09877,0.00031,0.00031,0.00031,49,0.71103,3.23035
34,20291,1.39259,0.8265,1.07786,0.79911,0.63922,0.7115,0.40705,1.58541,0.99794,1.09907,0.00026,0.00026,0.00026,51,0.71161,3.23898
35,20901,1.38407,0.82001,1.07451,0.78326,0.65072,0.71127,0.40639,1.58637,0.99839,1.09949,0.00022,0.00022,0.00022,52,0.7126,3.22624
36,21509,1.37577,0.81163,1.07309,0.79251,0.64751,0.71027,0.40671,1.5885,0.99843,1.1006,0.00017,0.00017,0.00017,54,0.70951,3.19433
37,22121,1.37569,0.80727,1.07272,0.77766,0.65684,0.71055,0.40706,1.58691,0.99708,1.10057,0.00014,0.00014,0.00014,55,0.71131,3.20376
38,22730,1.37333,0.80437,1.07216,0.78243,0.65358,0.70759,0.40793,1.58778,0.99815,1.10054,0.00011,0.00011,0.00011,57,0.70733,3.19163
39,23343,1.36763,0.80155,1.06797,0.78909,0.64755,0.71215,0.40644,1.58835,0.99944,1.10105,8e-05,8e-05,8e-05,58,0.71282,3.18938
40,23955,1.37013,0.79936,1.06799,0.79683,0.63953,0.71,0.40698,1.5893,0.99926,1.10339,6e-05,6e-05,6e-05,60,0.71,3.18
